fecha,sexo,num_casos
2020-12-14,M,848
2020-12-15,H,698
2020-12-15,M,868
2020-12-16,H,656
2020-12-16,M,693
2020-12-17,H,641
2020-12-17,M,784
2020-12-18,H,760
2020-12-18,M,817
2020-12-19,H,355
2020-12-19,M,383
2020-12-20,H,243
2020-12-20,M,270
2020-12-21,H,982
2020-12-21,M,1033
